                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90868,                 1.9448,                 3.8632,                  1.396,                0.65324,                0.17127,                0.17357,                0.14251,                0.65273,                0.16989,                0.17128,                0.14099,                 1.1379,                 2.2631,                 3.1109,                 1.7198,              0.0033314,              0.0033314,              0.0033314
                      2,                0.92722,                 1.9096,                  3.086,                 1.3796,                0.54182,                0.21295,                 0.1947,                0.15744,                0.54216,                0.20164,                0.19396,                0.15831,                 1.1642,                 2.3588,                 2.9519,                 1.7353,              0.0066317,              0.0066317,              0.0066317
                      3,                0.98855,                 2.0444,                 3.0524,                 1.4169,                0.63296,                0.12245,                0.13997,                 0.1108,                0.63259,                 0.1197,                0.13592,                0.10847,                 1.2185,                 2.5611,                 3.3039,                 1.7772,              0.0098991,              0.0098991,              0.0098991
                      4,                 1.0257,                 2.1172,                 3.0139,                 1.4149,                0.59518,                0.21192,                0.22124,                0.18161,                0.59374,                0.20946,                0.21831,                0.17648,                 1.1447,                 2.4764,                 2.8484,                 1.6463,              0.0098515,              0.0098515,              0.0098515
                      5,                0.96603,                 2.0086,                 2.7767,                 1.3614,                0.61547,                0.21005,                0.24093,                0.19991,                 0.6147,                 0.2075,                0.23842,                0.19288,                 1.1086,                  2.322,                 2.6921,                 1.6032,              0.0098515,              0.0098515,              0.0098515
                      6,                0.93689,                 1.9486,                 2.6428,                 1.3352,                0.52605,                0.27942,                0.28006,                0.23644,                0.52903,                0.27442,                0.27362,                0.22733,                  1.049,                 2.2544,                   2.55,                 1.5478,               0.009802,               0.009802,               0.009802
                      7,                0.91196,                  1.904,                 2.5456,                 1.3111,                0.56302,                  0.286,                 0.3073,                0.25701,                0.56059,                0.28364,                0.30308,                0.24815,                 1.0446,                 2.2047,                 2.4313,                 1.5334,              0.0097525,              0.0097525,              0.0097525
                      8,                0.89509,                 1.8757,                 2.4765,                 1.2978,                0.55536,                0.32475,                0.34134,                0.28711,                0.55353,                0.32167,                0.33608,                0.28053,                 1.0321,                 2.1639,                 2.3749,                 1.5285,               0.009703,               0.009703,               0.009703
                      9,                0.89107,                 1.8666,                 2.4144,                 1.2961,                0.53313,                0.32309,                0.36521,                0.30604,                0.52989,                0.31875,                 0.3578,                0.29744,                 1.0177,                 2.1175,                 2.2642,                 1.5181,              0.0096535,              0.0096535,              0.0096535
                     10,                0.86406,                 1.8132,                 2.3604,                 1.2748,                0.54516,                0.32674,                0.36269,                0.30527,                0.54312,                0.32626,                0.35492,                0.29446,                0.99694,                   2.09,                 2.2225,                 1.4872,               0.009604,               0.009604,               0.009604
                     11,                0.86413,                 1.8159,                 2.3304,                 1.2734,                0.53729,                 0.3563,                0.38919,                0.32619,                0.53952,                 0.3523,                0.38426,                 0.3147,                0.98718,                 2.0656,                 2.1292,                 1.4792,              0.0095545,              0.0095545,              0.0095545
                     12,                0.85853,                 1.8132,                 2.2965,                 1.2665,                 0.5676,                0.35807,                0.39542,                0.33433,                0.56545,                0.35561,                0.38706,                0.31931,                0.99285,                  2.038,                 2.1217,                 1.4852,               0.009505,               0.009505,               0.009505
                     13,                0.85298,                  1.798,                 2.2654,                 1.2634,                0.58235,                0.34075,                 0.4108,                0.34366,                0.58002,                0.33976,                0.40323,                0.32859,                0.97686,                 2.0375,                 2.0563,                 1.4668,              0.0094555,              0.0094555,              0.0094555
                     14,                0.83673,                  1.763,                  2.227,                 1.2507,                0.52655,                 0.3862,                0.41252,                 0.3474,                0.52387,                0.37762,                0.40403,                0.32994,                  0.979,                 2.0299,                 2.0383,                 1.4689,               0.009406,               0.009406,               0.009406
                     15,                0.83396,                 1.7686,                 2.2096,                 1.2478,                0.51731,                0.38572,                0.42247,                0.35444,                0.52734,                 0.3747,                0.40916,                0.33691,                0.96901,                 2.0158,                 2.0217,                 1.4588,              0.0093565,              0.0093565,              0.0093565
                     16,                0.83381,                 1.7534,                 2.1825,                  1.244,                0.54358,                0.37164,                0.42561,                0.36142,                0.54002,                0.36835,                0.41905,                0.34536,                0.96246,                 2.0042,                  2.007,                 1.4522,               0.009307,               0.009307,               0.009307
                     17,                0.82893,                 1.7513,                  2.162,                 1.2402,                0.57477,                0.35689,                0.43021,                0.36606,                0.57051,                0.35443,                0.42339,                0.34928,                0.95785,                 1.9947,                 1.9876,                 1.4487,              0.0092575,              0.0092575,              0.0092575
                     18,                0.82939,                 1.7512,                 2.1488,                 1.2387,                0.56394,                 0.3545,                0.43133,                  0.366,                0.55988,                0.35115,                0.42348,                0.34871,                0.95512,                  1.989,                  1.979,                 1.4448,               0.009208,               0.009208,               0.009208
                     19,                 0.8215,                  1.722,                 2.1329,                  1.234,                0.54324,                0.37975,                0.43467,                0.36828,                0.53593,                0.37864,                0.42904,                0.35214,                0.95293,                 1.9862,                 1.9627,                 1.4409,              0.0091585,              0.0091585,              0.0091585
